query_id,workload_file,workload_row_number,table_name,column_name,predicate_value,expected_matching_rows,expected_matching_percent,query_ngram_count,query_fingerprint_width,query_fingerprint_ones,metadata_version,merge_step,metadata_file,partition_file_count,metadata_total_size_bytes,ground_truth_partition_count,metadata_partition_count,pruned_partition_count,false_positive_partition_count,false_negative_partition_count
31,title.title_queries.txt,32,title,title,bea,11317,0.44761090%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
32,title.title_queries.txt,33,title,title,ben,9233,0.36518436%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
33,title.title_queries.txt,34,title,title,big,10558,0.41759087%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
34,title.title_queries.txt,35,title,title,bio,1247,0.04932144%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
35,title.title_queries.txt,36,title,title,bir,6333,0.25048333%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
36,title.title_queries.txt,37,title,title,bl,53010,2.09665579%,1,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
37,title.title_queries.txt,38,title,title,block,1004,0.03971029%,4,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,153,155,0,2,0
38,title.title_queries.txt,39,title,title,bonn,631,0.02495736%,3,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,147,155,0,8,0
39,title.title_queries.txt,40,title,title,boy,8802,0.34813741%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
40,title.title_queries.txt,41,title,title,br,51305,2.02921950%,1,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
41,title.title_queries.txt,42,title,title,brea,6032,0.23857815%,3,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
42,title.title_queries.txt,43,title,title,bri,12343,0.48819133%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
43,title.title_queries.txt,44,title,title,british,611,0.02416632%,6,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,140,155,0,15,0
44,title.title_queries.txt,45,title,title,ca,115751,4.57819288%,1,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
45,title.title_queries.txt,46,title,title,cars,801,0.03168122%,3,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,152,155,0,3,0
46,title.title_queries.txt,47,title,title,ce,92290,3.65026152%,1,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
47,title.title_queries.txt,48,title,title,ch,175082,6.92485738%,1,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
48,title.title_queries.txt,49,title,title,cha,35816,1.41659732%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
49,title.title_queries.txt,50,title,title,chan,8078,0.31950171%,3,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
50,title.title_queries.txt,51,title,title,charl,2521,0.09971080%,4,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
51,title.title_queries.txt,52,title,title,chicken,991,0.03919611%,6,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,153,155,0,2,0
52,title.title_queries.txt,53,title,title,cl,27352,1.08182851%,1,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
53,title.title_queries.txt,54,title,title,co,117375,4.64242546%,1,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
54,title.title_queries.txt,55,title,title,come,7356,0.29094510%,3,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
55,title.title_queries.txt,56,title,title,cor,9765,0.38622607%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
56,title.title_queries.txt,57,title,title,cous,594,0.02349394%,3,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,144,155,0,11,0
