feature_selection_method,ngram_size,min_block_frequency,max_block_frequency,hamming_cluster_count,fingerprint_width,metadata_size_bytes,mean_unnecessary_block_read_ratio,zero_bit_query_count,query_count,total_candidate_partitions,total_pruned_partitions,total_ground_truth_partitions,false_positive_partition_count,false_negative_partition_count,run_directory
fingerprint_internal_entropy_equivalence_classes,3,0.0,1.0,154,6000,116250,0.8620689655172413,64,190,29390,60,29165,225,0,/home/reese/row-level-string-fingerprints/block_level/ceb_imdb_block_skipping_sweep_20260917T125354_412672Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_1
fingerprint_internal_entropy_equivalence_classes,3,0.0,1.0,154,8000,155000,0.8448275862068966,64,190,29389,61,29165,224,0,/home/reese/row-level-string-fingerprints/block_level/ceb_imdb_block_skipping_sweep_20260917T125354_412672Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_1
fingerprint_internal_entropy_equivalence_classes,3,0.0,1.0,154,10000,193750,0.8103448275862069,63,190,29350,100,29165,185,0,/home/reese/row-level-string-fingerprints/block_level/ceb_imdb_block_skipping_sweep_20260917T125354_412672Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_1
