metadata_version,merge_step,metadata_file,metadata_file_size_bytes,metadata_file_size_kb,mean_metadata_file_size_kb_per_partition,mean_matrix_rows,partition_count,mean_unnecessary_block_read_ratio,unnecessary_block_read_ratio_increase_from_v000,ratio_query_count,query_count,zero_bit_query_count
0,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_2000bit,block_infix_fingerprint_v000.json,38750,37.84179688,0.24414062,1.00000000,155,0.93103448,0.00000000,29,190,188
1,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_3000bit,block_infix_fingerprint_v001.json,58125,56.76269531,0.36621094,1.00000000,155,0.93103448,0.00000000,29,190,188
2,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_4000bit,block_infix_fingerprint_v002.json,77500,75.68359375,0.48828125,1.00000000,155,0.89655172,-0.03448276,29,190,187
