metadata_version,merge_step,metadata_file,metadata_file_size_bytes,metadata_file_size_kb,mean_metadata_file_size_kb_per_partition,mean_matrix_rows,partition_count,mean_unnecessary_block_read_ratio,unnecessary_block_read_ratio_increase_from_v000,ratio_query_count,query_count,zero_bit_query_count
0,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_2000bit,block_infix_fingerprint_v000.json,38750,37.84179688,0.24414062,1.00000000,155,1.00000000,0.00000000,29,190,190
1,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_4000bit,block_infix_fingerprint_v001.json,77500,75.68359375,0.48828125,1.00000000,155,0.96551724,-0.03448276,29,190,189
2,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_6000bit,block_infix_fingerprint_v002.json,116250,113.52539062,0.73242188,1.00000000,155,0.96551724,-0.03448276,29,190,189
3,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_8000bit,block_infix_fingerprint_v003.json,155000,151.36718750,0.97656250,1.00000000,155,0.89655172,-0.10344828,29,190,187
4,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_10000bit,block_infix_fingerprint_v004.json,193750,189.20898438,1.22070312,1.00000000,155,0.81034483,-0.18965517,29,190,63
