feature_selection_method,ngram_size,min_block_frequency,max_block_frequency,hamming_cluster_count,fingerprint_width,metadata_size_bytes,mean_unnecessary_block_read_ratio,zero_bit_query_count,query_count,total_candidate_partitions,total_pruned_partitions,total_ground_truth_partitions,false_positive_partition_count,false_negative_partition_count,run_directory
fingerprint_internal_entropy_equivalence_classes,3,0.0,0.75,154,2000,38750,0.9655172413793104,189,190,29409,41,29165,244,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260917T095306_937355Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p75
fingerprint_internal_entropy_equivalence_classes,3,0.0,0.75,154,3000,58125,0.9655172413793104,189,190,29409,41,29165,244,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260917T095306_937355Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p75
fingerprint_internal_entropy_equivalence_classes,3,0.0,0.75,154,4000,77500,0.9310344827586207,188,190,29370,80,29165,205,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260917T095306_937355Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p75
fingerprint_internal_entropy_equivalence_classes,3,0.0,1,154,2000,38750,0.9310344827586207,188,190,29432,18,29165,267,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260917T095306_937355Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_1
fingerprint_internal_entropy_equivalence_classes,3,0.0,1,154,3000,58125,0.9310344827586207,188,190,29432,18,29165,267,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260917T095306_937355Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_1
fingerprint_internal_entropy_equivalence_classes,3,0.0,1,154,4000,77500,0.896551724137931,187,190,29431,19,29165,266,0,/home/reese/row-level-string-fingerprints/ceb_imdb_block_skipping_sweep_20260917T095306_937355Z/fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_1
