metadata_version,merge_step,metadata_file,metadata_file_size_bytes,metadata_file_size_kb,mean_metadata_file_size_kb_per_partition,mean_matrix_rows,partition_count,mean_unnecessary_block_read_ratio,unnecessary_block_read_ratio_increase_from_v000,ratio_query_count,query_count,zero_bit_query_count
0,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_12000bit,block_infix_fingerprint_v000.json,232500,227.05078125,1.46484375,1.00000000,155,0.81034483,0.00000000,29,190,63
1,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_14000bit,block_infix_fingerprint_v001.json,271250,264.89257812,1.70898438,1.00000000,155,0.81034483,0.00000000,29,190,63
2,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_16000bit,block_infix_fingerprint_v002.json,310000,302.73437500,1.95312500,1.00000000,155,0.81034483,0.00000000,29,190,63
3,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_18000bit,block_infix_fingerprint_v003.json,348750,340.57617188,2.19726562,1.00000000,155,0.81034483,0.00000000,29,190,63
4,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_20000bit,block_infix_fingerprint_v004.json,387500,378.41796875,2.44140625,1.00000000,155,0.81034483,0.00000000,29,190,63
