metadata_version,merge_step,metadata_file,metadata_file_size_bytes,metadata_file_size_mib,total_skipped_partitions,total_scanned_partitions,total_ground_truth_partitions,query_count
0,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_12000bit,block_infix_fingerprint_v000.json,232500,0.221729,100,29350,29165,190
1,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_14000bit,block_infix_fingerprint_v001.json,271250,0.258684,100,29350,29165,190
2,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_16000bit,block_infix_fingerprint_v002.json,310000,0.295639,100,29350,29165,190
3,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_18000bit,block_infix_fingerprint_v003.json,348750,0.332594,100,29350,29165,190
4,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_20000bit,block_infix_fingerprint_v004.json,387500,0.369549,100,29350,29165,190
