configuration,ngram_size,min_block_frequency,max_block_frequency,fingerprint_width,selected_aliases,query_count,zero_bit_query_count
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p01,3,0.0,0.01,256,9116,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,3,0.0,0.05,32,33,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,3,0.0,0.05,64,65,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,3,0.0,0.05,128,129,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,3,0.0,0.05,256,258,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,3,0.0,0.05,512,514,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,3,0.0,0.05,800,805,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p05,3,0.0,0.05,1024,1035,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,3,0.0,0.1,32,32,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,3,0.0,0.1,64,64,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,3,0.0,0.1,128,128,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,3,0.0,0.1,256,256,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,3,0.0,0.1,512,513,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,3,0.0,0.1,800,802,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p1,3,0.0,0.1,1024,1026,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,3,0.0,0.25,32,32,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,3,0.0,0.25,64,64,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,3,0.0,0.25,128,128,190,190
