metadata_version,merge_step,metadata_file,metadata_file_size_bytes,metadata_file_size_mib,total_skipped_partitions,total_scanned_partitions,total_ground_truth_partitions,query_count
0,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_32bit,block_infix_fingerprint_v000.json,620,0.000591,0,29450,29165,190
1,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_64bit,block_infix_fingerprint_v001.json,1240,0.001183,0,29450,29165,190
2,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_128bit,block_infix_fingerprint_v002.json,2480,0.002365,0,29450,29165,190
