metadata_version,metadata_file,fingerprint_width,feature_selection_method,hamming_cluster_count,ngram_size,min_block_frequency,max_block_frequency,table_name,column_name,bit_index,ngram,ngrams,alias_count,block_presence_count,total_block_count,block_frequency
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,0, *,"["" *""]",1,15,155,0.0967741935483871
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,1,'),"[""')""]",1,15,155,0.0967741935483871
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,2,0?,"[""0?""]",1,15,155,0.0967741935483871
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,3,9b,"[""9b""]",1,15,155,0.0967741935483871
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,4,q/,"[""q/""]",1,15,155,0.0967741935483871
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,5,s(,"[""s(""]",1,15,155,0.0967741935483871
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,6,s4,"[""s4""]",1,15,155,0.0967741935483871
0,block_infix_fingerprint_v000.json,8,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,7,f3,"[""f3""]",1,14,155,0.09032258064516129
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,0, *,"["" *""]",1,15,155,0.0967741935483871
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,1,'),"[""')""]",1,15,155,0.0967741935483871
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,2,0?,"[""0?""]",1,15,155,0.0967741935483871
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,3,9b,"[""9b""]",1,15,155,0.0967741935483871
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,4,q/,"[""q/""]",1,15,155,0.0967741935483871
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,5,s(,"[""s(""]",1,15,155,0.0967741935483871
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,6,s4,"[""s4""]",1,15,155,0.0967741935483871
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,7,f3,"[""f3""]",1,14,155,0.09032258064516129
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,8,c3,"[""c3""]",1,15,155,0.0967741935483871
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,9,4s,"[""4s""]",1,15,155,0.0967741935483871
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,10,1r,"[""1r""]",1,14,155,0.09032258064516129
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,11,$e,"[""$e""]",1,14,155,0.09032258064516129
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,12,"n""","[""n\""""]",1,13,155,0.08387096774193549
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,13,@t,"[""@t""]",1,14,155,0.09032258064516129
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,14,g1,"[""g1""]",1,14,155,0.09032258064516129
1,block_infix_fingerprint_v001.json,16,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,15,v6,"[""v6""]",1,14,155,0.09032258064516129
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,0, *,"["" *""]",1,15,155,0.0967741935483871
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,1,'),"[""')""]",1,15,155,0.0967741935483871
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,2,0?,"[""0?""]",1,15,155,0.0967741935483871
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,3,9b,"[""9b""]",1,15,155,0.0967741935483871
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,4,q/,"[""q/""]",1,15,155,0.0967741935483871
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,5,s(,"[""s(""]",1,15,155,0.0967741935483871
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,6,s4,"[""s4""]",1,15,155,0.0967741935483871
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,7,f3,"[""f3""]",1,14,155,0.09032258064516129
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,8,c3,"[""c3""]",1,15,155,0.0967741935483871
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,9,4s,"[""4s""]",1,15,155,0.0967741935483871
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,10,1r,"[""1r""]",1,14,155,0.09032258064516129
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,11,$e,"[""$e""]",1,14,155,0.09032258064516129
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,12,"n""","[""n\""""]",1,13,155,0.08387096774193549
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,13,@t,"[""@t""]",1,14,155,0.09032258064516129
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,14,g1,"[""g1""]",1,14,155,0.09032258064516129
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,15,v6,"[""v6""]",1,14,155,0.09032258064516129
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,16,:n,"["":n""]",1,13,155,0.08387096774193549
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,17,f#,"[""f#""]",1,12,155,0.07741935483870968
