metadata_version,metadata_file,fingerprint_width,feature_selection_method,hamming_cluster_count,ngram_size,min_block_frequency,max_block_frequency,table_name,column_name,bit_index,ngram,ngrams,alias_count,block_presence_count,total_block_count,block_frequency
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,18,n@,"[""n@""]",1,12,155,0.07741935483870968
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,19,g2,"[""g2""]",1,15,155,0.0967741935483871
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,20,"d""","[""d\""""]",1,10,155,0.06451612903225806
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,21,2r,"[""2r""]",1,13,155,0.08387096774193549
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,22,$9,"[""$9""]",1,14,155,0.09032258064516129
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,23,l*,"[""l*""]",1,10,155,0.06451612903225806
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,24,"t""","[""t\""""]",1,12,155,0.07741935483870968
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,25,1m,"[""1m""]",1,14,155,0.09032258064516129
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,26,i5,"[""i5""]",1,12,155,0.07741935483870968
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,27,&j,"[""&j""]",1,8,155,0.05161290322580645
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,28,+4,"[""+4""]",1,9,155,0.05806451612903226
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,29, !,"["" !""]",1,9,155,0.05806451612903226
2,block_infix_fingerprint_v002.json,32,fingerprint_distribution_entropy_equivalence_classes,154,2,0.05,0.1,title,title,30,)',"["")'""]",1,10,155,0.06451612903225806
