metadata_version,merge_step,metadata_file,metadata_file_size_bytes,metadata_file_size_mib,total_skipped_partitions,total_scanned_partitions,total_ground_truth_partitions,query_count
0,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_32bit,block_infix_fingerprint_v000.json,620,0.000591,0,29450,29165,190
1,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_64bit,block_infix_fingerprint_v001.json,1240,0.001183,0,29450,29165,190
2,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_128bit,block_infix_fingerprint_v002.json,2480,0.002365,17,29433,29165,190
3,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_256bit,block_infix_fingerprint_v003.json,4960,0.004730,17,29433,29165,190
4,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_512bit,block_infix_fingerprint_v004.json,9920,0.009460,17,29433,29165,190
5,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_800bit,block_infix_fingerprint_v005.json,15500,0.014782,17,29433,29165,190
6,concatenated_block_infix_fingerprint_internal_entropy_equivalence_classes_1024bit,block_infix_fingerprint_v006.json,19840,0.018921,17,29433,29165,190
